poi_id,xcoord,ycoord,sm13,post_code,sic_1,sic_2,sic_3,sic_4,sic_5,sic_6,naics_1,naics_2,naics_3,naics_4,naics_5
POI4362633,309369.0158,5047138.049,309,J4B 6H5,42140000,0,0,0,0,0,0,0,0,0,0
POI2384679,310610.9712,5046636.984,309,J4B 6Z6,50870000,51690000,0,0,0,0,0,0,0,0,0
POI4962459,309051.5029,5047951.154,309,J4B 5L2,79910000,0,0,0,0,0,0,0,0,0,0
POI4962329,309412.9888,5052503.989,309,J4B 8H1,75380000,50130000,0,0,0,0,811111,42112,811118,0,0
POI5161309,312488.0199,5047538.952,309,J4B 5Y1,58120000,54110000,54210000,0,0,0,72211,44511,44521,0,0
POI4139788,311500.0164,5048015.018,309,J4B 7L4,64110000,63110000,0,0,0,0,52421,524113,0,0,0
POI4139769,310557.0223,5048169.998,309,J4B 7V3,64110000,0,0,0,0,0,0,0,0,0,0
POI4988472,310210.9854,5050030.041,309,J4B 0B2,57310000,36630000,48120000,73750000,96310000,0,443112,33422,513322,514191,92613
POI4988449,308921.964,5047839.98,309,J4B 5L2,57130000,0,0,0,0,0,0,0,0,0,0
POI4964433,309715.9638,5050164.992,309,J4B 5T5,58120000,0,0,0,0,0,72211,53311,722211,0,0
POI4360992,308387.0123,5052294.053,309,J4B 3L7,35710000,73730000,0,0,0,0,334111,541512,0,0,0
POI3083375,308598.6755,5047521.239,309,J4N 1B8,36250000,0,0,0,0,0,335314,0,0,0,0
POI4362894,308548.9859,5047519.019,309,J4N 1B8,51990000,0,0,0,0,0,45391,0,0,0,0
POI3084626,310713.0309,5047520.022,309,J4B 5H3,50840000,0,0,0,0,0,0,0,0,0,0
POI3085662,308610.9714,5047517.01,309,J4N 1B8,52510000,0,0,0,0,0,0,0,0,0,0
POI4361961,309918.9894,5050250.949,309,J4B 5E4,79910000,0,0,0,0,0,71394,0,0,0,0
POI3083568,309048.9769,5047923.97,309,J4B 5L2,65310000,0,0,0,0,0,53121,0,0,0,0
POI3082388,308418.9636,5051398.01,309,J4B 1S3,50830000,76990000,7820000,34320000,0,0,42182,811411,56173,332919,0
POI3085701,308929.962,5048731.041,309,J4B 6G4,61620000,0,0,0,0,0,0,0,0,0,0
POI3086045,308876.9977,5047971.975,309,J4B 7L3,58120000,0,0,0,0,0,0,0,0,0,0
POI3083826,309139.9938,5051400.025,309,J4B 7W2,54110000,0,0,0,0,0,0,0,0,0,0
POI4363920,310642.0428,5046720.029,309,J4B 6Z6,42310000,0,0,0,0,0,48849,0,0,0,0
POI3936732,310040.9693,5046204.957,309,J4B 7L6,55610000,75380000,0,0,0,0,44121,811111,0,0,0
POI4360692,308353.0116,5052557.974,309,J4B 3N2,20660000,0,0,0,0,0,31132,0,0,0,0
