cor_id	cor_weight	cor_coordinates
32	2634.19	LINESTRING(299051.8097280322 5041393.788130085, 299069.84476206993 5041297.408315392)
33	2629.0899999999997	LINESTRING(298798.6608635441 5042843.807518116, 298826.5950767931 5042749.707028304)
34	2627.99	LINESTRING(298671.5723903753 5042946.265654213, 298652.8567020672 5043042.965919723)
35	2620.85	LINESTRING(299096.9961520792 5041718.718201698, 299126.2505090037 5041624.968658706)
36	2620.4600000000005	LINESTRING(298971.9702609189 5042458.920391053, 298990.2906756673 5042362.453109097)
37	2577.8899999999994	LINESTRING(299121.95676297846 5041213.407873609, 299141.62023890764 5041117.415022363)
38	2576.5299999999997	LINESTRING(298887.2363650201 5042526.849107054, 298860.12320249877 5042621.33121564)
39	2571.9499999999994	LINESTRING(299061.2871748417 5040883.693868791, 299044.5490730329 5040980.392535915)
40	2541.27	LINESTRING(299023.8500099471 5042164.247970055, 299006.605231945 5042261.018200432)
41	2516.97	LINESTRING(298966.82911221095 5041163.509367379, 298949.61353757273 5041260.1088768095)
42	2499.1099999999997	LINESTRING(299114.0859142967 5040879.351336448, 299134.34506228846 5040783.460795598)
43	2467.040000000001	LINESTRING(297918.82666503824 5042857.896044618, 297849.06297661224 5042788.417027414)
44	2441.359999999999	LINESTRING(298997.3498250428 5042089.60991113, 298952.2064129028 5042176.69502785)
45	2435.63	LINESTRING(298796.09399062424 5043317.157569052, 298800.0194403274 5043415.051444236)
46	2435.2099999999996	LINESTRING(298193.3773416488 5043052.92127485, 298257.82304777036 5042978.763692106)
47	2414.94	LINESTRING(299106.7186243091 5040966.0285606915, 299127.4495211612 5040870.255806884)
48	2371.2600000000007	LINESTRING(298863.08937958616 5043228.5535309035, 298858.50687507814 5043130.384570124)
49	2343.9500000000003	LINESTRING(299064.69618125656 5040973.930381247, 299049.64546147175 5041071.059779328)
50	2338.3600000000006	LINESTRING(299346.9704701082 5039973.303180318, 299322.32868338574 5040068.198365484)
51	2316.92	LINESTRING(298903.32485445536 5042539.080910801, 298922.09498712973 5042442.674511898)
52	2295.43	LINESTRING(298779.95764168835 5042804.055388102, 298754.7772598371 5042899.190883395)
53	2295.2700000000004	LINESTRING(299019.32013929315 5042161.649983779, 299037.20508186397 5042065.141329848)
54	2284.39	LINESTRING(298727.8125027344 5043066.552582887, 298710.2266288306 5043163.507429578)
55	2282.5000000000005	LINESTRING(299129.97060664213 5040779.482171027, 299150.0724642479 5040683.630246711)
56	2272.8699999999985	LINESTRING(299116.62237763853 5041907.986723154, 299166.8333160601 5041823.0778360665)
57	2194.73	LINESTRING(298339.7422762884 5043149.997553094, 298292.78384512244 5043236.17772802)
58	2192.6	LINESTRING(299164.0524479784 5040795.681896045, 299147.4052396806 5040892.3504299885)
59	2190.9999999999995	LINESTRING(298777.69142179127 5042740.668846563, 298808.8817811921 5042647.696286951)
60	2180.2200000000003	LINESTRING(298713.3671536382 5043047.801313639, 298740.1613809157 5042953.430338969)
61	2179.2300000000005	LINESTRING(299162.6877930058 5040520.685739697, 299142.0542409967 5040616.527082191)
62	2178.830000000001	LINESTRING(298837.41297331103 5042602.492572152, 298834.7714742949 5042700.900407772)
63	2174.2000000000003	LINESTRING(299089.6724025561 5040664.041690948, 299108.6542457104 5040567.905422106)
64	2076.3700000000003	LINESTRING(298596.5843424913 5042755.932160498, 298505.8103763738 5042792.843987299)
65	2073.5500000000006	LINESTRING(299127.7117217955 5040587.653215548, 299149.3100670036 5040492.278123549)
66	2050.5800000000004	LINESTRING(298800.162840961 5043396.46933409, 298710.18769235176 5043356.880153449)
67	2046.9500000000003	LINESTRING(298998.4748510162 5041931.831077767, 298995.97593816294 5042030.301359652)
68	2000.1999999999998	LINESTRING(298494.7966191905 5042808.78874704, 298585.98721387394 5042771.856449334)
69	1996.2600000000004	LINESTRING(298716.05271612504 5043079.566009892, 298711.41843185364 5043177.761188251)
70	1972.2700000000007	LINESTRING(298910.20120895933 5043452.666026604, 298911.86854341114 5043354.331704723)
71	1960.1699999999998	LINESTRING(299242.1194906558 5039757.870495031, 299254.792046211 5039660.726095303)
72	1957.02	LINESTRING(299505.1570081151 5040913.067922546, 299462.07366743905 5041001.473600667)
73	1936.7300000000002	LINESTRING(299196.60493122734 5040273.200811372, 299176.6206391875 5040369.117496437)
