cor_id	cor_weight	cor_coordinates
19	1981.9399999999996	LINESTRING(302672.4188890675 5042187.212881936, 302587.9426942954 5042137.509770554)
20	1981.8799999999999	LINESTRING(307610.1093125666 5045352.492168223, 307618.6807374304 5045450.970684117)
21	1979.3600000000001	LINESTRING(307519.85440008197 5044245.968778107, 307510.4575855876 5044147.51592968)
22	1977.2900000000002	LINESTRING(304155.0684021039 5043149.457316975, 304070.675816006 5043099.604953685)
23	1944.6000000000004	LINESTRING(304635.7660051004 5043355.144669437, 304720.47617096035 5043404.776584439)
24	1937.4000000000005	LINESTRING(306757.698178434 5043954.910603024, 306841.84545098484 5044005.237550589)
25	1935.9400000000003	LINESTRING(304307.0771475061 5043271.176317382, 304222.7720065885 5043221.254155611)
26	1924.84	LINESTRING(307600.5624198896 5043600.957423015, 307601.2329998176 5043699.944173521)
27	1905.8700000000003	LINESTRING(306006.0602023919 5043686.219461609, 306091.17150863336 5043735.164486715)
28	1893.0500000000002	LINESTRING(306158.7927136879 5043859.42516184, 306073.744402097 5043810.6952795675)
29	1887.79	LINESTRING(303725.32113911444 5042865.152374645, 303641.1258335473 5042815.076471418)
30	1879.5699999999997	LINESTRING(303963.69222801295 5043016.238640288, 303879.70838380564 5042965.557627727)
31	1863.81	LINESTRING(306124.60847560654 5045228.615124895, 306199.397089105 5045292.96755997)
32	1863.1899999999998	LINESTRING(303359.03448828263 5042663.244622887, 303274.5510939163 5042613.663603991)
33	1855.2700000000002	LINESTRING(304205.9279854957 5043197.811446598, 304121.9912930382 5043147.235456677)
34	1854.7099999999996	LINESTRING(303261.07456212013 5042473.033176214, 303176.2097014179 5042424.024631125)
35	1839.66	LINESTRING(305673.2101640234 5043242.953357499, 305761.1021329076 5043286.619468246)
36	1837.1899999999998	LINESTRING(304961.3351162814 5042591.828469032, 304870.04951691977 5042555.548231722)
37	1830.0399999999997	LINESTRING(306140.6901451471 5044073.153048015, 306225.83037840395 5044122.049272172)
38	1810.32	LINESTRING(304042.9902865383 5043102.179934196, 303959.2391387755 5043051.216429507)
39	1801.8499999999997	LINESTRING(307696.89839381736 5044570.140921137, 307612.5568913638 5044520.4644105835)
40	1793.5400000000006	LINESTRING(304895.5029468465 5044138.486131318, 304971.49265939015 5044201.086638583)
41	1792.0999999999997	LINESTRING(305355.9242888043 5043288.228537151, 305269.79067693214 5043241.345411038)
42	1780.1199999999997	LINESTRING(303463.53376585233 5042850.399887411, 303380.0420475627 5042798.91577018)
43	1772.9700000000003	LINESTRING(306344.6699130933 5044130.0143278055, 306427.79561965377 5044182.686936083)
44	1750.0099999999995	LINESTRING(305319.2565792102 5042617.949466592, 305226.33587252337 5042585.530789781)
45	1737.44	LINESTRING(303996.393687149 5042220.968496609, 304086.1476016702 5042260.979800474)
46	1734.5500000000004	LINESTRING(306621.8852860161 5044095.948893877, 306538.3360063705 5044044.608060472)
47	1722.5	LINESTRING(303868.16710656916 5042842.563915372, 303783.5636642671 5042793.19553378)
48	1719.4499999999998	LINESTRING(305253.50925835996 5042759.338383827, 305343.3913422869 5042799.107160903)
49	1715.0500000000004	LINESTRING(307424.3908470851 5045170.248500608, 307413.441170757 5045071.961035827)
50	1711.7499999999998	LINESTRING(303300.9972134443 5042585.863021915, 303216.9376545167 5042535.5166307045)
51	1703.2399999999996	LINESTRING(301461.61655286874 5041540.003390567, 301376.53666914627 5041491.344457152)
52	1703.2399999999996	LINESTRING(301546.6964365911 5041588.662323979, 301461.61655286874 5041540.003390567)
53	1687.4500000000003	LINESTRING(307213.8061561973 5044234.897252625, 307129.1542254612 5044185.7081883)
54	1675.97	LINESTRING(305608.12489766174 5043630.11520202, 305693.96675417613 5043677.919339858)
55	1672.9199999999998	LINESTRING(307737.31891382666 5045507.404638256, 307736.242694034 5045606.243145513)
56	1657.3199999999997	LINESTRING(303058.1946582008 5042305.914859544, 302973.38659450633 5042256.577892205)
57	1654.1799999999996	LINESTRING(305726.5497148887 5042644.664487503, 305819.19898062927 5042677.810392923)
58	1652.6100000000004	LINESTRING(303108.219895147 5042700.616268676, 303189.73800331185 5042755.4439485185)
59	1648.1000000000001	LINESTRING(307363.33924587426 5043229.395229676, 307348.3835690306 5043326.077933118)
60	1647.1399999999999	LINESTRING(302312.89550267387 5041952.061383921, 302227.80365290446 5041903.55417796)
